Định nghĩa,Điều – khoản tương ứng,Nội dung chi tiết,Keyphrase
1. Hồ sơ hưởng lương hưu đối với người lao động đang tham gia bảo hiểm xã hội bắt buộc bao gồm:,khoản c mục 1 Điều 108 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,c) Biên bản giám định mức suy giảm khả năng lao động của Hội đồng giám định y khoa đối với người nghỉ hưu theo quy định tại Điều 55 của Luật này hoặc giấy chứng nhận bị nhiễm HIV/AIDS do tai nạn rủi ro nghề nghiệp đối với trường hợp người lao động quy định tại Điều 54 của Luật này.,"ho so, huong luong huu, nguoi lao dong, dang tham gia, bao hiem xa hoi, bat buoc bao"
Hồ sơ hưởng lương hưu, mục 2 Điều 108 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Hồ sơ hưởng lương hưu đối với người lao động đang tham gia bảo hiểm xã hội tự nguyện, người bảo lưu thời gian tham gia bảo hiểm xã hội gồm cả người đang chấp hành hình phạt tù bao gồm:","bao hiem xa hoi, ho so huong, luong huu"
"2. Hồ sơ hưởng lương hưu đối với người lao động đang tham gia bảo hiểm xã hội tự nguyện, người bảo lưu thời gian tham gia bảo hiểm xã hội gồm cả người đang chấp hành hình phạt tù bao gồm:",khoản a mục 2 Điều 108 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,a) Sổ bảo hiểm xã hội;,"ho so, huong luong huu, doi voi, nguoi lao dong, tham gia, bao hiem xa hoi, tu nguyen, nguoi bao luu, thoi gian tham gia bao hiem xa hoi, chap hanh, hinh phat tu"
"2. Hồ sơ hưởng lương hưu đối với người lao động đang tham gia bảo hiểm xã hội tự nguyện, người bảo lưu thời gian tham gia bảo hiểm xã hội gồm cả người đang chấp hành hình phạt tù bao gồm:",khoản b mục 2 Điều 108 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,b) Đơn đề nghị hưởng lương hưu;,"ho so, huong luong huu, doi voi, nguoi lao dong, tham gia, bao hiem xa hoi, tu nguyen, nguoi bao luu, thoi gian tham gia bao hiem xa hoi, chap hanh, hinh phat tu"
"2. Hồ sơ hưởng lương hưu đối với người lao động đang tham gia bảo hiểm xã hội tự nguyện, người bảo lưu thời gian tham gia bảo hiểm xã hội gồm cả người đang chấp hành hình phạt tù bao gồm:",khoản c mục 2 Điều 108 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,c) Giấy ủy quyền làm thủ tục giải quyết chế độ hưu trí và nhận lương hưu đối với người đang chấp hành hình phạt tù;,"ho so, huong luong huu, doi voi, nguoi lao dong, tham gia, bao hiem xa hoi, tu nguyen, nguoi bao luu, thoi gian tham gia bao hiem xa hoi, chap hanh, hinh phat tu"
"2. Hồ sơ hưởng lương hưu đối với người lao động đang tham gia bảo hiểm xã hội tự nguyện, người bảo lưu thời gian tham gia bảo hiểm xã hội gồm cả người đang chấp hành hình phạt tù bao gồm:",khoản d mục 2 Điều 108 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,d) Văn bản của cơ quan nhà nước có thẩm quyền về việc trở về nước định cư hợp pháp đối với trường hợp xuất cảnh trái phép;,"ho so, huong luong huu, doi voi, nguoi lao dong, tham gia, bao hiem xa hoi, tu nguyen, nguoi bao luu, thoi gian tham gia bao hiem xa hoi, chap hanh, hinh phat tu"
"2. Hồ sơ hưởng lương hưu đối với người lao động đang tham gia bảo hiểm xã hội tự nguyện, người bảo lưu thời gian tham gia bảo hiểm xã hội gồm cả người đang chấp hành hình phạt tù bao gồm:",khoản đ mục 2 Điều 108 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,đ) Quyết định có hiệu lực pháp luật của Tòa án hủy bỏ quyết định tuyên bố mất tích đối với trường hợp người mất tích trở về.,"ho so, huong luong huu, doi voi, nguoi lao dong, tham gia, bao hiem xa hoi, tu nguyen, nguoi bao luu, thoi gian tham gia bao hiem xa hoi, chap hanh, hinh phat tu"
Hồ sơ hưởng bảo hiểm xã hội một lần, mục 1 Điều 109 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,1. Sổ bảo hiểm xã hội.,"bao hiem xa hoi, ho so huong, bao hiem xa hoi mot lan"
Hồ sơ hưởng bảo hiểm xã hội một lần, mục 2 Điều 109 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,2. Đơn đề nghị hưởng bảo hiểm xã hội một lần của người lao động.,"bao hiem xa hoi, ho so huong, bao hiem xa hoi mot lan"
Hồ sơ hưởng bảo hiểm xã hội một lần, mục 3 Điều 109 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,3. Đối với người ra nước ngoài để định cư phải nộp thêm bản sao giấy xác nhận của cơ quan có thẩm quyền về việc thôi quốc tịch Việt Nam hoặc bản dịch tiếng Việt được chứng thực hoặc công chứng một trong các giấy tờ sau đây:,"bao hiem xa hoi, ho so huong, bao hiem xa hoi mot lan"
3. Đối với người ra nước ngoài để định cư phải nộp thêm bản sao giấy xác nhận của cơ quan có thẩm quyền về việc thôi quốc tịch Việt Nam hoặc bản dịch tiếng Việt được chứng thực hoặc công chứng một trong các giấy tờ sau đây:,khoản a mục 3 Điều 109 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,a) Hộ chiếu do nước ngoài cấp;,"nguoi ra nuoc ngoai, dinh cu, nop them, ban sao giay xac nhan, co quan co tham quyen, thoi quoc tich viet nam, ban dich tieng viet, chung thuc, cong chung"
3. Đối với người ra nước ngoài để định cư phải nộp thêm bản sao giấy xác nhận của cơ quan có thẩm quyền về việc thôi quốc tịch Việt Nam hoặc bản dịch tiếng Việt được chứng thực hoặc công chứng một trong các giấy tờ sau đây:,khoản b mục 3 Điều 109 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,b) Thị thực của cơ quan nước ngoài có thẩm quyền cấp có xác nhận việc cho phép nhập cảnh với lý do định cư ở nước ngoài;,"nguoi ra nuoc ngoai, dinh cu, nop them, ban sao giay xac nhan, co quan co tham quyen, thoi quoc tich viet nam, ban dich tieng viet, chung thuc, cong chung"
3. Đối với người ra nước ngoài để định cư phải nộp thêm bản sao giấy xác nhận của cơ quan có thẩm quyền về việc thôi quốc tịch Việt Nam hoặc bản dịch tiếng Việt được chứng thực hoặc công chứng một trong các giấy tờ sau đây:,khoản c mục 3 Điều 109 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"c) Giấy tờ xác nhận về việc đang làm thủ tục nhập quốc tịch nước ngoài; giấy tờ xác nhận hoặc thẻ thường trú, cư trú có thời hạn từ 05 năm trở lên của cơ quan nước ngoài có thẩm quyền cấp.","nguoi ra nuoc ngoai, dinh cu, nop them, ban sao giay xac nhan, co quan co tham quyen, thoi quoc tich viet nam, ban dich tieng viet, chung thuc, cong chung"
Hồ sơ hưởng bảo hiểm xã hội một lần, mục 4 Điều 109 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,4. Trích sao hồ sơ bệnh án trong trường hợp quy định tại điểm c khoản 1 Điều 60 và điểm c khoản 1 Điều 77 của Luật này.,"bao hiem xa hoi, ho so huong, bao hiem xa hoi mot lan"
Hồ sơ hưởng bảo hiểm xã hội một lần, mục 5 Điều 109 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,5. Đối với người lao động quy định tại Điều 65 và khoản 5 Điều 77 của Luật này thì hồ sơ hưởng trợ cấp một lần được thực hiện theo quy định tại khoản 2 và khoản 3 Điều này.,"bao hiem xa hoi, ho so huong, bao hiem xa hoi mot lan"
"Giải quyết hưởng lương hưu, bảo hiểm xã hội một lần", mục 1 Điều 110 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Trong thời hạn 30 ngày tính đến thời điểm người lao động được hưởng lương hưu, người sử dụng lao động nộp hồ sơ quy định tại khoản 1 Điều 108 của Luật này cho cơ quan bảo hiểm xã hội.","bao hiem xa hoi, giai quyet huong, luong huu, bao hiem xa hoi mot lan"
"Giải quyết hưởng lương hưu, bảo hiểm xã hội một lần", mục 2 Điều 110 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Trong thời hạn 30 ngày tính đến thời điểm người lao động được hưởng lương hưu, người lao động đang bảo lưu thời gian đóng bảo hiểm xã hội, người tham gia bảo hiểm xã hội tự nguyện nộp hồ sơ quy định tại khoản 2 Điều 108 của Luật này cho cơ quan bảo hiểm xã hội.","bao hiem xa hoi, giai quyet huong, luong huu, bao hiem xa hoi mot lan"
"Giải quyết hưởng lương hưu, bảo hiểm xã hội một lần", mục 3 Điều 110 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,3. Trong thời hạn 30 ngày tính đến thời điểm người lao động đủ điều kiện và có yêu cầu hưởng bảo hiểm xã hội một lần nộp hồ sơ quy định tại Điều 109 của Luật này cho cơ quan bảo hiểm xã hội.,"bao hiem xa hoi, giai quyet huong, luong huu, bao hiem xa hoi mot lan"
"Giải quyết hưởng lương hưu, bảo hiểm xã hội một lần", mục 4 Điều 110 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"4. Trong thời hạn 20 ngày kể từ ngày nhận đủ hồ sơ theo quy định đối với người hưởng lương hưu hoặc trong thời hạn 10 ngày, kể từ ngày nhận đủ hồ sơ theo quy định đối với trường hợp hưởng bảo hiểm xã hội một lần, cơ quan bảo hiểm xã hội có trách nhiệm giải quyết và tổ chức chi trả cho người lao động; trường hợp không giải quyết thì phải trả lời bằng văn bản và nêu rõ lý do.","bao hiem xa hoi, giai quyet huong, luong huu, bao hiem xa hoi mot lan"
Hồ sơ hưởng chế độ tử tuất, mục 1 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,1. Hồ sơ hưởng chế độ tử tuất đối với người đang đóng bảo hiểm xã hội và người bảo lưu thời gian đóng bảo hiểm xã hội bao gồm:,"bao hiem xa hoi, ho so huong, tu tuat"
1. Hồ sơ hưởng chế độ tử tuất đối với người đang đóng bảo hiểm xã hội và người bảo lưu thời gian đóng bảo hiểm xã hội bao gồm:,khoản a mục 1 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,a) Sổ bảo hiểm xã hội;,"ho so huong, che do tu tuat, nguoi dang, dong bao hiem xa hoi, nguoi bao luu, thoi gian dong, bao hiem xa hoi"
1. Hồ sơ hưởng chế độ tử tuất đối với người đang đóng bảo hiểm xã hội và người bảo lưu thời gian đóng bảo hiểm xã hội bao gồm:,khoản b mục 1 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,b) Bản sao giấy chứng tử hoặc giấy báo tử hoặc bản sao quyết định tuyên bố là đã chết của Tòa án đã có hiệu lực pháp luật;,"ho so huong, che do tu tuat, nguoi dang, dong bao hiem xa hoi, nguoi bao luu, thoi gian dong, bao hiem xa hoi"
1. Hồ sơ hưởng chế độ tử tuất đối với người đang đóng bảo hiểm xã hội và người bảo lưu thời gian đóng bảo hiểm xã hội bao gồm:,khoản c mục 1 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,c) Tờ khai của thân nhân và biên bản họp của các thân nhân đối với trường hợp đủ điều kiện hưởng hằng tháng nhưng chọn hưởng trợ cấp tuất một lần;,"ho so huong, che do tu tuat, nguoi dang, dong bao hiem xa hoi, nguoi bao luu, thoi gian dong, bao hiem xa hoi"
1. Hồ sơ hưởng chế độ tử tuất đối với người đang đóng bảo hiểm xã hội và người bảo lưu thời gian đóng bảo hiểm xã hội bao gồm:,khoản d mục 1 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"d) Biên bản điều tra tai nạn lao động, trường hợp bị tai nạn giao thông được xác định là tai nạn lao động thì phải có thêm biên bản tai nạn giao thông hoặc biên bản khám nghiệm hiện trường và sơ đồ hiện trường vụ tai nạn giao thông quy định tại khoản 2 Điều 104 của Luật này; bản sao bệnh án điều trị bệnh nghề nghiệp đối với trường hợp chết do bệnh nghề nghiệp;","ho so huong, che do tu tuat, nguoi dang, dong bao hiem xa hoi, nguoi bao luu, thoi gian dong, bao hiem xa hoi"
1. Hồ sơ hưởng chế độ tử tuất đối với người đang đóng bảo hiểm xã hội và người bảo lưu thời gian đóng bảo hiểm xã hội bao gồm:,khoản đ mục 1 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,đ) Biên bản giám định mức suy giảm khả năng lao động đối với thân nhân bị suy giảm khả năng lao động từ 81% trở lên.,"ho so huong, che do tu tuat, nguoi dang, dong bao hiem xa hoi, nguoi bao luu, thoi gian dong, bao hiem xa hoi"
Hồ sơ hưởng chế độ tử tuất, mục 2 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Hồ sơ hưởng chế độ tử tuất của người đang hưởng hoặc người đang tạm dừng hưởng lương hưu, trợ cấp tai nạn lao động, bệnh nghề nghiệp hằng tháng bao gồm:","bao hiem xa hoi, ho so huong, tu tuat"
"2. Hồ sơ hưởng chế độ tử tuất của người đang hưởng hoặc người đang tạm dừng hưởng lương hưu, trợ cấp tai nạn lao động, bệnh nghề nghiệp hằng tháng bao gồm:",khoản a mục 2 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,a) Bản sao giấy chứng tử hoặc giấy báo tử hoặc quyết định tuyên bố là đã chết của Tòa án đã có hiệu lực pháp luật;,"ho so huong, che do tu tuat, nguoi dang huong, nguoi dang tam dung huong luong huu, tro cap tai nan lao dong, benh nghe nghiep, hang thang"
"2. Hồ sơ hưởng chế độ tử tuất của người đang hưởng hoặc người đang tạm dừng hưởng lương hưu, trợ cấp tai nạn lao động, bệnh nghề nghiệp hằng tháng bao gồm:",khoản b mục 2 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,b) Tờ khai của thân nhân và biên bản họp của các thân nhân đối với trường hợp đủ điều kiện hưởng hằng tháng nhưng chọn hưởng trợ cấp tuất một lần;,"ho so huong, che do tu tuat, nguoi dang huong, nguoi dang tam dung huong luong huu, tro cap tai nan lao dong, benh nghe nghiep, hang thang"
"2. Hồ sơ hưởng chế độ tử tuất của người đang hưởng hoặc người đang tạm dừng hưởng lương hưu, trợ cấp tai nạn lao động, bệnh nghề nghiệp hằng tháng bao gồm:",khoản c mục 2 Điều 111 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,c) Biên bản giám định mức suy giảm khả năng lao động đối với thân nhân bị suy giảm khả năng lao động từ 81% trở lên.,"ho so huong, che do tu tuat, nguoi dang huong, nguoi dang tam dung huong luong huu, tro cap tai nan lao dong, benh nghe nghiep, hang thang"
Giải quyết hưởng chế độ tử tuất, mục 1 Điều 112 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Trong thời hạn 90 ngày kể từ ngày người bảo lưu thời gian đóng bảo hiểm xã hội, người tham gia bảo hiểm xã hội tự nguyện, người đang hưởng lương hưu, trợ cấp tai nạn lao động, bệnh nghề nghiệp hằng tháng chết thì thân nhân của họ nộp hồ sơ quy định tại Điều 111 của Luật này cho cơ quan bảo hiểm xã hội.","bao hiem xa hoi, giai quyet huong, tu tuat"
Giải quyết hưởng chế độ tử tuất, mục 1 Điều 112 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,Trong thời hạn 90 ngày kể từ ngày người lao động đang đóng bảo hiểm xã hội bắt buộc bị chết thì thân nhân nộp hồ sơ quy định tại khoản 1 Điều 111 của Luật này cho người sử dụng lao động.,"bao hiem xa hoi, giai quyet huong, tu tuat"
Giải quyết hưởng chế độ tử tuất, mục 2 Điều 112 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Trong thời hạn 30 ngày kể từ ngày nhận đủ hồ sơ từ thân nhân của người lao động, người sử dụng lao động nộp hồ sơ quy định tại khoản 1 Điều 111 của Luật này cho cơ quan bảo hiểm xã hội.","bao hiem xa hoi, giai quyet huong, tu tuat"
Giải quyết hưởng chế độ tử tuất, mục 3 Điều 112 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"3. Trong thời hạn 15 ngày kể từ ngày nhận đủ hồ sơ, cơ quan bảo hiểm xã hội có trách nhiệm giải quyết và tổ chức chi trả cho thân nhân của người lao động. Trường hợp không giải quyết thì phải trả lời bằng văn bản và nêu rõ lý do.","bao hiem xa hoi, giai quyet huong, tu tuat"
"Hồ sơ hưởng tiếp lương hưu, trợ cấp bảo hiểm xã hội hằng tháng đối với người xuất cảnh trái phép trở về nước định cư hợp pháp và người bị Tòa án tuyên bố mất tích trở về", mục 1 Điều 113 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Đơn đề nghị hưởng tiếp lương hưu, trợ cấp bảo hiểm xã hội hằng tháng.","bao hiem xa hoi, ho so huong tiep luong huu, tro cap bao hiem xa hoi, hang thang, nguoi xuat canh trai phep, tro ve, nuoc dinh cu hop phap, toa an tuyen bo, mat tich, tro ve"
"Hồ sơ hưởng tiếp lương hưu, trợ cấp bảo hiểm xã hội hằng tháng đối với người xuất cảnh trái phép trở về nước định cư hợp pháp và người bị Tòa án tuyên bố mất tích trở về", mục 2 Điều 113 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,2. Văn bản của cơ quan nhà nước có thẩm quyền về việc trở về nước định cư hợp pháp đối với người xuất cảnh trái phép trở về nước định cư hợp pháp.,"bao hiem xa hoi, ho so huong tiep luong huu, tro cap bao hiem xa hoi, hang thang, nguoi xuat canh trai phep, tro ve, nuoc dinh cu hop phap, toa an tuyen bo, mat tich, tro ve"
"Hồ sơ hưởng tiếp lương hưu, trợ cấp bảo hiểm xã hội hằng tháng đối với người xuất cảnh trái phép trở về nước định cư hợp pháp và người bị Tòa án tuyên bố mất tích trở về", mục 3 Điều 113 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,3. Quyết định có hiệu lực pháp luật của Tòa án hủy bỏ quyết định tuyên bố mất tích đối với trường hợp Tòa án tuyên bố mất tích trở về đã có hiệu lực pháp luật.,"bao hiem xa hoi, ho so huong tiep luong huu, tro cap bao hiem xa hoi, hang thang, nguoi xuat canh trai phep, tro ve, nuoc dinh cu hop phap, toa an tuyen bo, mat tich, tro ve"
"Giải quyết hưởng tiếp lương hưu, trợ cấp bảo hiểm xã hội hằng tháng đối với người xuất cảnh trái phép trở về nước định cư hợp pháp, người bị Tòa án tuyên bố mất tích trở về", mục 1 Điều 114 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,1. Người lao động nộp hồ sơ quy định tại Điều 113 của Luật này cho cơ quan bảo hiểm xã hội.,"bao hiem xa hoi, giai quyet huong tiep luong huu, tro cap bao hiem xa hoi, hang thang, nguoi xuat canh, trai phep, tro ve, nuoc dinh cu, hop phap, toa an tuyen bo mat tich, tro ve"
"Giải quyết hưởng tiếp lương hưu, trợ cấp bảo hiểm xã hội hằng tháng đối với người xuất cảnh trái phép trở về nước định cư hợp pháp, người bị Tòa án tuyên bố mất tích trở về", mục 2 Điều 114 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Trong thời hạn 15 ngày kể từ ngày nhận đủ hồ sơ theo quy định, cơ quan bảo hiểm xã hội có trách nhiệm giải quyết; trường hợp không giải quyết thì phải trả lời bằng văn bản và nêu rõ lý do.","bao hiem xa hoi, giai quyet huong tiep luong huu, tro cap bao hiem xa hoi, hang thang, nguoi xuat canh, trai phep, tro ve, nuoc dinh cu, hop phap, toa an tuyen bo mat tich, tro ve"
"Chuyển nơi hưởng lương hưu, trợ cấp bảo hiểm xã hội", Điều 115 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"Người đang hưởng lương hưu, trợ cấp bảo hiểm xã hội hằng tháng chuyển đến nơi ở khác trong nước có nguyện vọng được hưởng bảo hiểm xã hội ở nơi cư trú mới thì có đơn gửi cơ quan bảo hiểm xã hội nơi đang hưởng.","bao hiem xa hoi, chuyen noi huong luong huu, tro cap bao hiem xa hoi"
"Chuyển nơi hưởng lương hưu, trợ cấp bảo hiểm xã hội", Điều 115 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"Trong thời hạn 05 ngày làm việc kể từ ngày nhận được đơn, cơ quan bảo hiểm xã hội có trách nhiệm giải quyết; trường hợp không giải quyết thì phải trả lời bằng văn bản và nêu rõ lý do.","bao hiem xa hoi, chuyen noi huong luong huu, tro cap bao hiem xa hoi"
Giải quyết hưởng chế độ bảo hiểm xã hội chậm so với thời hạn quy định, mục 1 Điều 116 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Trường hợp vượt quá thời hạn được quy định tại khoản 1 và khoản 2 Điều 102, khoản 1 Điều 103, khoản 1 và khoản 2 Điều 110, khoản 1 và khoản 2 Điều 112 của Luật này thì phải giải trình bằng văn bản.","bao hiem xa hoi, giai quyet huong, che do, cham, thoi han quy dinh"
Giải quyết hưởng chế độ bảo hiểm xã hội chậm so với thời hạn quy định, mục 2 Điều 116 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Trường hợp nộp hồ sơ và giải quyết hưởng chế độ bảo hiểm xã hội chậm so với thời hạn quy định, gây thiệt hại đến quyền, lợi ích hợp pháp của người hưởng thì phải bồi thường theo quy định của pháp luật, trừ trường hợp do lỗi của người lao động hoặc thân nhân của người lao động thuộc đối tượng được hưởng chế độ bảo hiểm xã hội.","bao hiem xa hoi, giai quyet huong, che do, cham, thoi han quy dinh"
"Hồ sơ, trình tự khám giám định mức suy giảm khả năng lao động để giải quyết chế độ bảo hiểm xã hội", mục 1 Điều 117 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Hồ sơ, trình tự khám giám định mức suy giảm khả năng lao động để giải quyết chế độ bảo hiểm xã hội do Bộ trưởng Bộ Y tế quy định.","bao hiem xa hoi, ho so, trinh tu kham, giam dinh, muc suy giam kha nang lao dong, giai quyet che do bao hiem xa hoi"
"Hồ sơ, trình tự khám giám định mức suy giảm khả năng lao động để giải quyết chế độ bảo hiểm xã hội", mục 2 Điều 117 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Việc khám giám định mức suy giảm khả năng lao động phải bảo đảm chính xác, công khai, minh bạch. Hội đồng giám định y khoa chịu trách nhiệm về tính chính xác của kết quả giám định của mình theo quy định của pháp luật.","bao hiem xa hoi, ho so, trinh tu kham, giam dinh, muc suy giam kha nang lao dong, giai quyet che do bao hiem xa hoi"
"Hồ sơ, trình tự khám giám định mức suy giảm khả năng lao động để giải quyết chế độ bảo hiểm xã hội", mục 2 Điều 117 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,Chương VIII,"bao hiem xa hoi, ho so, trinh tu kham, giam dinh, muc suy giam kha nang lao dong, giai quyet che do bao hiem xa hoi"
"Hồ sơ, trình tự khám giám định mức suy giảm khả năng lao động để giải quyết chế độ bảo hiểm xã hội", mục 2 Điều 117 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"KHIẾU NẠI, TỐ CÁO VÀ XỬ LÝ VI PHẠM VỀ BẢO HIỂM XÃ HỘI","bao hiem xa hoi, ho so, trinh tu kham, giam dinh, muc suy giam kha nang lao dong, giai quyet che do bao hiem xa hoi"
Khiếu nại về bảo hiểm xã hội, mục 1 Điều 118 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Người lao động, người đang hưởng lương hưu, trợ cấp bảo hiểm xã hội hằng tháng, người đang bảo lưu thời gian đóng bảo hiểm xã hội và những người khác có quyền đề nghị cơ quan, tổ chức, cá nhân có thẩm quyền xem xét lại quyết định, hành vi của cơ quan, tổ chức, cá nhân khi có căn cứ cho rằng quyết định, hành vi đó vi phạm pháp luật về bảo hiểm xã hội, xâm phạm đến quyền và lợi ích hợp pháp của mình.","bao hiem xa hoi, khieu nai"
Khiếu nại về bảo hiểm xã hội, mục 2 Điều 118 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Người sử dụng lao động có quyền đề nghị cơ quan, tổ chức, cá nhân có thẩm quyền xem xét lại quyết định, hành vi của cơ quan, tổ chức, cá nhân khi có căn cứ cho rằng quyết định, hành vi đó vi phạm pháp luật về bảo hiểm xã hội, xâm phạm đến quyền và lợi ích hợp pháp của mình.","bao hiem xa hoi, khieu nai"
Trình tự giải quyết khiếu nại về bảo hiểm xã hội, mục 1 Điều 119 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"1. Việc giải quyết khiếu nại đối với quyết định, hành vi hành chính về bảo hiểm xã hội được thực hiện theo quy định của pháp luật về khiếu nại.","bao hiem xa hoi, trinh tu giai quyet khieu nai"
Trình tự giải quyết khiếu nại về bảo hiểm xã hội, mục 2 Điều 119 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"2. Việc giải quyết khiếu nại đối với quyết định, hành vi về bảo hiểm xã hội không thuộc trường hợp quy định tại khoản 1 Điều này thì người khiếu nại có quyền lựa chọn một trong hai hình thức sau đây:","bao hiem xa hoi, trinh tu giai quyet khieu nai"
"2. Việc giải quyết khiếu nại đối với quyết định, hành vi về bảo hiểm xã hội không thuộc trường hợp quy định tại khoản 1 Điều này thì người khiếu nại có quyền lựa chọn một trong hai hình thức sau đây:",khoản a mục 2 Điều 119 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,"a) Khiếu nại lần đầu đến cơ quan, người đã ra quyết định hoặc người có hành vi vi phạm. Trường hợp cơ quan, người có quyết định, hành vi về bảo hiểm xã hội bị khiếu nại không còn tồn tại thì cơ quan quản lý nhà nước về lao động cấp huyện có trách nhiệm giải quyết;","viec giai quyet khieu nai, quyet dinh, hanh vi, bao hiem xa hoi, nguoi khieu nai"
"2. Việc giải quyết khiếu nại đối với quyết định, hành vi về bảo hiểm xã hội không thuộc trường hợp quy định tại khoản 1 Điều này thì người khiếu nại có quyền lựa chọn một trong hai hình thức sau đây:",khoản b mục 2 Điều 119 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,b) Khởi kiện tại Tòa án theo quy định của pháp luật.,"viec giai quyet khieu nai, quyet dinh, hanh vi, bao hiem xa hoi, nguoi khieu nai"
Trình tự giải quyết khiếu nại về bảo hiểm xã hội, mục 3 Điều 119 luật Bảo hiểm xã hội số 58/2014/QH13  ngày 20 tháng 11 năm 2014,3. Trường hợp người khiếu nại được quy định tại điểm a khoản 2 Điều này không đồng ý với quyết định giải quyết khiếu nại lần đầu hoặc quá thời hạn quy định mà khiếu nại không được giải quyết thì có quyền khởi kiện tại Tòa án hoặc khiếu nại đến cơ quan quản lý nhà nước về lao động cấp tỉnh.,"bao hiem xa hoi, trinh tu giai quyet khieu nai"
